pregunta,articulo_id
¿Quiénes son responsables por el incumplimiento según el artículo?,59
¿Qué elementos debe contener el requerimiento escrito previo?,59
¿Qué implicaciones tiene la Sentencia C-328 de 2019 sobre la publicación de infractores?,59
¿Qué se considera un bien común esencial según el parágrafo?,59
¿Qué plazo debe otorgarse en el requerimiento escrito?,59
¿Cómo se define qué es un bien de uso exclusivo?,59
¿Ante quién pueden ejercer el derecho de petición los moradores no propietarios?,59
¿Qué diferencia existe entre las sanciones aplicables a propietarios y no propietarios?,59
¿Qué tipos de riesgos deben cubrir obligatoriamente las pólizas de seguros en la propiedad horizontal?,15
¿Es obligatorio asegurar todos los bienes del edificio o conjunto?,15
¿Qué bienes comunes son obligatorios asegurar según el parágrafo 1?,15
¿Cuál es la prioridad en el uso de las indemnizaciones de los seguros?,15
¿Cómo se distribuye la indemnización cuando no se reconstruye el inmueble?,15
¿Qué criterio se utiliza para distribuir las indemnizaciones entre los propietarios?,15
¿En qué casos se puede decidir no reconstruir el edificio o conjunto?,15
¿Qué bienes comunes son susceptibles de ser asegurados?,15
¿Pueden los edificios o conjuntos contratar coberturas adicionales además de incendio y terremoto?,15
¿Cómo se determina la proporción del derecho de cada propietario en la indemnización?,15
¿Qué papel juegan los coeficientes de copropiedad en la distribución de las indemnizaciones?,15
¿Quién decide si el inmueble debe ser reconstruido o no?,15
¿Qué normas legales son aplicables para la distribución de las indemnizaciones?,15
"¿Qué significa que las indemnizaciones queden ""afectadas en primer término"" a la reconstrucción?",15
¿Existe alguna diferencia entre la cobertura obligatoria para bienes comunes y privados?,15
¿Cuál es la función principal del consejo de administración según el artículo?,55
¿Qué tipo de determinaciones puede tomar el consejo de administración?,55
¿Cuáles son los límites de las facultades del consejo de administración?,55
¿Cómo se relacionan las funciones del consejo con el reglamento de propiedad horizontal?,55
"¿Qué significa que la persona jurídica ""cumpla sus fines""?",55
¿Qué papel juega el reglamento de propiedad horizontal en las decisiones del consejo?,55
¿Tiene el consejo autonomía para tomar determinaciones fuera del reglamento?,55
¿Cómo se determina si una decisión del consejo está alineada con los fines de la persona jurídica?,55
¿Quién supervisa que el consejo cumpla con lo establecido en el reglamento?,55
¿Qué relación existe entre el consejo de administración y la persona jurídica?,55
¿Qué tipos de áreas comunes deben tener las Unidades Inmobiliarias Cerradas?,66
¿Qué criterios se utilizan para determinar el tamaño de las áreas comunes?,66
¿En qué casos se pueden disminuir las exigencias de áreas comunes?,66
¿Quiénes son los responsables de reglamentar el uso de las áreas comunes?,66
¿Qué papel juega la asamblea de copropietarios en la reglamentación de estas áreas?,66
¿Cuál es la función de la junta administradora en relación con las áreas comunes?,66
"¿Qué significa que las áreas sean ""proporcionalmente a su tamaño""?",66
"¿Cómo se determina el ""uso predominante"" de las áreas comunes?",66
¿Qué alternativas pueden garantizar el derecho al deporte y recreación?,66
¿Qué aspectos debe incluir la reglamentación interna sobre el uso de áreas comunes?,66
"¿Existe una definición específica de lo que constituye un área ""suficiente""?",66
¿Qué tipo de actividades culturales deben contemplarse en estas áreas?,66
¿Cómo se coordina la reglamentación entre la asamblea y la junta administradora?,66
"¿Qué diferencia hay entre áreas recreativas, culturales y deportivas?",66
"¿Qué implicaciones tiene la palabra ""disposición"" en el contexto del artículo?",66
1. ¿Qué tipos de señales o elementos están regulados según el artículo?,74
2. ¿Quiénes son los responsables de determinar los niveles tolerables de incidencia?,74
3. ¿Pueden los reglamentos internos ser más restrictivos que las normas oficiales?,74
4. ¿Qué papel juega la Asamblea de Copropietarios en la regulación de estos elementos?,74
"5. ¿Cómo se define un ""nivel tolerable"" para la convivencia?",74
6. ¿Qué autoridades intervienen en la determinación de los niveles permitidos?,74
7. ¿Qué aspectos debe regular el reglamento sobre la permanencia de mascotas?,74
"8. ¿Qué se entiende por ""funcionalidad requerida"" en las Unidades Inmobiliarias Cerradas?",74
"9. ¿Cómo se mide la ""trascendencia al exterior"" de los elementos mencionados?",74
10. ¿Qué diferencia existe entre inmuebles privados y públicos en cuanto a estas regulaciones?,74
"11. ¿Qué significa el término ""inmisión"" en el contexto del artículo?",74
"12. ¿Qué relación existe entre las autoridades sanitarias, urbanísticas y de policía?",74
13. ¿Por qué se separa la regulación de mascotas en un parágrafo específico?,74
14. ¿Qué alcance tienen las regulaciones sobre señales visuales?,74
15. ¿Cómo se coordinan las diferentes autoridades para establecer los niveles tolerables?,74
,
,
