pregunta_id,pregunta,articulo_id,embeding
27_11,¿Qué sucede si los bienes comunes no son susceptibles de dividirse materialmente?,11,
28_13,¿Qué porcentaje de destrucción o deterioro del edificio o conjunto es el que determina la necesidad de su reconstrucción?,13,
29_13,¿Qué porcentaje de propietarios debe votar a favor de la reconstrucción para que se lleve a cabo?,13,
30_14,"¿Qué se entiende por ""destrucción o deterioro"" en el contexto de este texto?",14,
31_14,¿Quiénes son los responsables de las expensas para la reconstrucción de un edificio o etapa?,14,
32_14,¿Qué porcentaje de destrucción o deterioro se entiende en relación con el edificio o etapa?,14,
33_14,¿Qué tipo de expensas son las causadas por la reconstrucción de los bienes comunes?,14,
34_16,¿Qué tipo de bienes se consideran privados en el contexto de la propiedad horizontal?,16,
35_16,¿Qué implica la propiedad sobre los bienes privados en relación con los bienes comunes?,16,
36_17,¿Qué tipo de inmuebles están sujetos al régimen de la presente ley?,17,
37_17,¿Qué ocurre con las hipotecas constituidas sobre estos inmuebles?,17,
38_17,"¿Qué significa ""prorrata del valor de cada una de ellas""?",17,
39_17,¿Quién es responsable de las obligaciones inherentes a los gravámenes?,17,
40_17,¿Qué sucede con el gravamen hipotecario sobre el inmueble de mayor extensión?,17,
41_17,¿Cuándo se debe presentar la certificación de aceptación del acreedor?,17,
42_17,¿Qué documento se debe presentar para la protocolización de la unidad privada?,17,
43_21,¿Qué tipo de reforma se realizará al reglamento de propiedad horizontal?,21,
44_21,¿Qué documento se utilizará para protocolizar la autorización de la asamblea general de propietarios?,21,
45_21,¿Dónde se registrará la escritura que autoriza la desafectación?,21,
46_21,¿Qué se entiende por desafectar un bien común no esencial?,21,
47_21,¿Qué cambios se realizarán en los coeficientes de copropiedad y módulos de contribución?,21,
48_21,¿Qué criterios se utilizarán para calcular los coeficientes y módulos de contribución?,21,
49_22,¿Qué tipo de bienes comunes se consideran susceptibles de ser asignados de manera exclusiva a los propietarios de los bienes privados?,22,
50_22,¿Qué bienes comunes no pueden ser objeto de uso exclusivo?,22,
51_22,¿Qué tipo de asignación de parqueaderos se considera equitativa?,22,
52_22,¿Por qué la Corte Constitucional se declaro inhibida para fallar sobre este artículo?,22,
53_23,"¿Qué tipo de bienes se consideran ""bienes privados a los que asigne el uso exclusivo""?",23,
54_23,¿Qué obligaciones tiene el propietario de un bien privado con uso exclusivo?,23,
55_23,"¿Qué se entiende por ""alteraciones ni construcciones""?",23,
56_31,¿Qué tipo de bienes y servicios comunales se consideran necesarios para la sectorización?,31,
57_31,¿Qué tipo de bienes y servicios comunales no están destinados al uso y goce general de los propietarios de las unidades privadas?,31,
58_31,¿Qué es un sector de contribución?,31,
59_31,¿Quién es responsable de la sectorización de los bienes y servicios comunales?,31,
60_31,¿Qué tipo de contribuciones se aplican a los bienes y servicios comunales?,31,
61_31,¿Cómo se calculan los módulos de contribución?,31,
62_31,¿Qué se debe hacer con los recursos de cada sector de contribución?,31,
63_31,¿Qué tipo de erogaciones se consideran inherentes a la destinacion específica de cada sector?,31,
64_31,¿Qué es un presupuesto anual de edificio o conjunto?,31,
65_35,¿Qué es un fondo para atender obligaciones o expensas imprevistas?,35,
66_35,¿Qué porcentaje de recargo se aplicará al presupuesto anual de gastos comunes para la creación del fondo?,35,
67_35,¿Cuándo se podrá suspender el cobro del fondo?,35,
68_35,¿Quién puede disponer de los recursos del fondo?,35,
69_44,¿Qué tipo de decisiones se consideran ineficaces según el texto?,44,
70_44,¿Qué requisitos deben cumplir los propietarios para que las decisiones sean efectivas?,44,
71_44,"¿Qué significa la expresión ""comunicación simultánea o sucesiva""?",44,
72_44,¿Qué tipo de comunicación escrita se menciona en el texto?,44,
73_48,¿Qué tipo de multas o obligaciones pecuniarias se pueden cobrar mediante la acción ejecutiva?,48,
74_48,¿Qué documentos se pueden exigir como anexos a la demanda en el proceso ejecutiva?,48,
75_48,¿Qué tipo de título ejecutivo se puede utilizar en la acción ejecutiva?,48,
76_48,¿Qué requisitos se deben cumplir para que se pueda exigir un certificado de intereses?,48,
77_56,¿Qué tipo de conjuntos están obligados a contar con un Revisor Fiscal?,56,
78_56,¿Qué requisitos debe cumplir el Revisor Fiscal para ser elegido?,56,
79_56,"¿Qué significa la frase ""no podrá ser propietario o tenedor de bienes privados en el edificio o conjunto""?",56,
80_56,¿Qué tipo de vínculos comerciales o circunstancias pueden afectar la independencia del Revisor Fiscal?,56,
81_56,¿Qué tipo de conjuntos pueden contar con un Revisor Fiscal?,56,
82_56,¿Qué sucede si la asamblea general de propietarios decide que el conjunto tenga un Revisor Fiscal?,56,
83_62,¿Qué tipo de sanciones se pueden impugnar?,62,
84_62,¿En qué casos se puede impugnar una sanción?,62,
85_62,¿Cuál es el plazo para impugnar una sanción?,62,
86_62,¿Qué procedimiento legal se utiliza para impugnar una sanción?,62,
87_64,¿Qué tipo de propiedades se consideran Unidades Inmobiliarias Cerradas (UIC)?,64,
88_64,¿Qué requisitos deben cumplir las UIC para ser consideradas como tal?,64,
89_64,"¿Qué significa la frase ""administradores de los inmuebles""?",64,
