articulo_id,articulo_name,detalla,contenido,conteo_palabras,rango_palabras
39,Artículo 39,Reuniones,"La Asamblea General se reunirá ordinariamente por lo menos una vez al año, en la fecha señalada en el reglamento de propiedad horizontal y, en silencio de este, dentro de los tres (3) meses siguientes al vencimiento de cada período presupuestal; con el fin de examinar la situación general de la persona jurídica, efectuar los nombramientos cuya elección le corresponda, considerar y aprobar las cuentas del último ejercicio y presupuesto para el siguiente año. La convocatoria la efectuará el administrador, con una antelación no inferior a quince (15) días calendario.
Se reunirá en forma extraordinaria cuando las necesidades imprevistas o urgentes del edificio o conjunto así lo ameriten, por convocatoria del administrador, del consejo de administración, del Revisor Fiscal o de un número plural de propietarios de bienes privados que representen por lo menos, la quinta parte de los coeficientes de copropiedad.
PARÁGRAFO 1º. Toda convocatoria se hará mediante comunicación enviada a cada uno de los propietarios de los bienes de dominio particular del edificio o conjunto, a la última dirección registrada por los mismos. Tratándose de asamblea extraordinaria, reuniones no presenciales y de decisiones por comunicación escrita, en el aviso se insertará el orden del día y en la misma no se podrán tomar decisiones sobre temas no previstos en este. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
PARÁGRAFO 2º. La convocatoria contendrá una relación de los propietarios que adeuden contribuciones a las expensas comunes.",345,217-910
42,Artículo 42,Reuniones no presenciales,"Siempre que ello se pueda probar, habrá reunión de la asamblea general cuando por cualquier medio los propietarios de bienes privados o sus representantes o delegados puedan deliberar y decidir por comunicación simultánea o sucesiva de conformidad con el quórum requerido para el respectivo caso. En este último caso, la sucesión de comunicaciones deberá ocurrir de manera inmediata de acuerdo con el medio empleado, de lo cual dará fe el revisor fiscal de la copropiedad. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
PARÁGRAFO. Para acreditar la validez de una reunión no presencial, deberá quedar prueba inequívoca, como fax, grabación magnetofónica o similar, donde sea claro el nombre del propietario que emite la comunicación, el contenido de la misma y la hora en que lo hace, así como la correspondiente copia de la convocatoria efectuada a los copropietarios.",246,217-910
43,Artículo 43,Decisiones por comunicación escrita,"Serán válidas las decisiones de la asamblea general cuando, convocada la totalidad de propietarios de unidades privadas, los deliberantes, sus representantes o delegados debidamente acreditados, expresen el sentido de su voto frente a una o varias decisiones concretas, señalando de manera expresa el nombre del copropietario que emite la comunicación, el contenido de la misma y la fecha y hora en que se hace. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa""..
En este evento la mayoría respectiva se computará sobre el total de los coeficientes que integran el edificio o conjunto. Si los propietarios hubieren expresado su voto en documentos separados, estos deberán recibirse en un término máximo de un (1) mes, contado a partir del envío acreditado de la primera comunicación.",231,217-910
45,Artículo 45,Quórum y mayorías,"Con excepción de los casos en que la ley o el reglamento de propiedad horizontal exijan un quórum o mayoría superior y de las reuniones de segunda convocatoria previstas en el artículo 41, la asamblea general sesionará con un número plural de propietarios de unidades privadas que representen por lo menos, más de la mitad de los coeficientes de propiedad, y tomará decisiones con el voto favorable de la mitad más uno de los coeficientes de propiedad y tomará decisiones con el voto favorable de la mitad más uno de los coeficientes de propiedad representados en la respectiva sesión. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
Para ninguna decisión, salvo la relativa a la extinción de la propiedad horizontal, se podrá exigir una mayoría superior al setenta por ciento (70%) de los coeficientes que integran el edificio o conjunto. Las mayorías superiores previstas en los reglamentos se entenderán por no escritas y se asumirá que la decisión correspondiente se podrá tomar con el voto favorable de la mayoría calificada aquí indicada.
Las decisiones que se adopten en contravención a lo prescrito en este artículo, serán absolutamente nulas.NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-738 de 2002, ""en los términos del fundamento jurídico número 14 de la parte considerativa de la presente sentencia"", que indica ""en cuanto la norma que ahora se acusa contiene reglas relativas a quórum y mayorías para deliberar y decidir en las reuniones de las asambleas generales de los conjuntos o edificios sujetos al régimen de propiedad horizontal, reglas que se establecen acudiendo al coeficiente de copropiedad de cada propietario de unidades privadas, debe entenderse, conforme a lo decidido en la mencionada sentencia C-522-02 de 2002, que tales reglas, en las copropiedades destinadas a vivienda, sólo se aplican para la adopción de decisiones de contenido económico.No obstante, en relación con las decisiones de contenido no económico en las copropiedades destinadas a vivienda, las reglas contenidas en el artículo que ahora se examina sigue teniendo aplicación en cuanto establece mayorías mínimas y máximas, pero ahora deben entenderse no referidas al índice de copropiedad, sino al número de votos emitidos, sobre la base de la fórmula 'una unidad un voto'. Es decir, donde la disposición contenida en el artículo 45 dice que el quórum para sesionar será 'un número plural de propietarios de unidades privadas que representen por lo menos, más de la mitad de los coeficientes de propiedad', el condicionamiento introducido al parágrafo 2° del artículo 37 de la Ley 675 de 2001 por la Sentencia C-522-02 de 2002 impone entender que tal quórum deliberatorio se conformará con  un número plural de propietarios de unidades privadas que represente por lo menos, más de la mitad delas unidades. Y donde el mismo artículo indica que la asamblea de copropietarios  'tomará decisiones con el voto favorable de la mitad más uno de los coeficientes de propiedad representados en la respectiva sesión' debe entenderse que, tratándose de decisiones de contenido no económico en conjuntos o edificios destinados a vivienda, la mayoría decisoria se conforma con la mitad más uno de los votos correspondientes las unidades presentes o representadas en la reunión.",633,217-910
46,Artículo 46,Decisiones que exigen mayoría calificada,"Como excepción a la norma general, las siguientes decisiones requerirán mayoría calificada del setenta por ciento (70%) de los coeficientes de copropiedad que integran el edificio o conjunto:
1. Cambios que afecten la destinación de los bienes comunes o impliquen una sensible disminución en uso y goce.
2. Imposición de expensas extraordinarias cuya cuantía total, durante la vigencia presupuestal, supere cuatro (4) veces el valor de las expensas necesarias mensuales.
3. Aprobación de expensas comunes diferentes de las necesarias.
4. Asignación de un bien común al uso y goce exclusivo de un determinado bien privado, cuando así lo haya solicitado un copropietario.
5. Reforma a los estatutos y reglamento.
6. Desafectación de un bien común no esencial.
7. Reconstrucción del edificio o conjunto destruido en proporción que represente por lo menos el setenta y cinco por ciento (75%).
8. Cambio de destinación genérica de los bienes de dominio particular, siempre y cuando se ajuste a la normatividad urbanística vigente.
9. Adquisición de inmuebles para el edificio o conjunto.
10. Liquidación y disolución.
PARÁGRAFO. Las decisiones previstas en este artículo no podrán tomarse en reuniones no presenciales, ni en reuniones de segunda convocatoria, salvo que en este último caso se obtenga la mayoría exigida por esta ley.NOTA: La Corte Constitucional se declaro inhibida para fallar sobre este artículo por ineptitud de la demanda, mediante Sentencia C-738 de 2002.",227,217-910
47,Artículo 47,Actas,"Las decisiones de la asamblea se harán constar en actas firmadas por el presidente y el secretario de la misma, en las cuales deberá indicarse si es ordinaria o extraordinaria, además la forma de la convocatoria, orden del día, nombre y calidad de los asistentes, su unidad privada y su respectivo coeficiente, y los votos emitidos en cada caso.
En los eventos en que la Asamblea decida encargar personas para verificar la redacción del acta, las personas encargadas deberán hacerlo dentro del término que establezca el reglamento, y en su defecto, dentro de los veinte (20) días hábiles siguientes a la fecha de la respectiva reunión.
Dentro de un lapso no superior a veinte (20) días hábiles contados a partir de la fecha de la reunión, el administrador debe poner a disposición de los propietarios del edificio o conjunto, copia completa del texto del acta en el lugar determinado como sede de la administración, e informar tal situación a cada uno de los propietarios. En el libro de actas se dejará constancia sobre la fecha y lugar de publicación.
La copia del acta debidamente suscrita será prueba suficiente de los hechos que consten en ella, mientras no se demuestre la falsedad de la copia o de las actas. El administrador deberá entregar copia del acta a quien se la solicite.
Parágrafo. Todo propietario a quien se le niegue la entrega de copia de acta, podrá acudir en reclamación ante el Alcalde Municipal o Distrital o su delegado, quien a su vez ordenará la entrega de la copia solicitada so pena de sanción de carácter policivo.
NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
Ver el Concepto de la Sec. General 03 de 2008",391,217-910
49,Artículo 49,Impugnación de decisiones,"El administrador, el Revisor Fiscal y los propietarios de bienes privados, podrán impugnar las decisiones de la asamblea general de propietarios, cuando no se ajusten a las prescripciones legales o al reglamento de la propiedad horizontal. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
Inciso derogado por el literal c), art. 626, Ley 1564 de 2012. El texto del inciso derogado era el siguiente:La impugnación sólo podrá intentarse dentro de los dos (2) meses siguientes a la fecha de la comunicación o publicación de la respectiva acta. Será aplicable para efectos del presente artículo, el procedimiento consagrado en el artículo 194 del Código de Comercio o en las normas que lo modifiquen, adicionen o complementen.PARÁGRAFO. Exceptúanse de la disposición contenida en el presente artículo, las decisiones de la asamblea general, por medio de las cuales se impongan sanciones por incumplimiento de obligaciones no pecuniarias, que se regirán por lo dispuesto en el Capítulo Segundo, del Título II de la presente ley.",269,217-910
51,Artículo 51,Funciones del administrador,"La administración inmediata del edificio o conjunto estará a cargo del administrador, quien tiene facultades de ejecución, conservación, representación y recaudo. Sus funciones básicas son las siguientes:
1. Convocar a la asamblea a reuniones ordinarias o extraordinarias y someter a su aprobación el inventario y balance general de las cuentas del ejercicio anterior, y un presupuesto detallado de gastos e ingresos correspondientes al nuevo ejercicio anual, incluyendo las primas de seguros. 
2. Llevar directamente o ba jo su dependencia y responsabilidad, los libros de actas de la asamblea y de registro de propietarios y residentes, y atender la correspondencia relativa al edificio o conjunto.
3. Poner en conocimiento de los propietarios y residentes del edificio o conjunto, las actas de la asamblea general y del consejo de administración, si lo hubiere.
4. Preparar y someter a consideración del Consejo de Administración las cuentas anuales, el informe para la Asamblea General anual de propietarios, el presupuesto de ingresos y egresos para cada vigencia, el balance general de las cuentas del ejercicio anterior, los balances de prueba y su respectiva ejecución presupuestal.
5. Llevar bajo su dependencia y responsabilidad, la contabilidad del edificio o conjunto.
6. Administrar con diligencia y cuidado los bienes de dominio de la persona jurídica que surgen como consecuencia de la desafectación de bienes comunes no esenciales y destinarlos a los fines autorizados por la asamblea general en el acto de desafectación, de conformidad con el reglamento de propiedad horizontal.
7. Cuidar y vigilar los bienes comunes, y ejecutar los actos de administración, conservación y disposición de los mismos de conformidad con las facultades y restricciones fijadas en el reglamento de propiedad horizontal.
8. Cobrar y recaudar, directamente o a través de apoderados cuotas ordinarias y extraordinarias, multas, y en general, cualquier obligación de carácter pecuniario a cargo de los propietarios u ocupantes de bienes de dominio particular del edificio o conjunto, iniciando oportunamente el cobro judicial de las mismas, sin necesidad de autorización alguna.
9. Elevar a escritura pública y registrar las reformas al reglamento de propiedad horizontal aprobadas por la asamblea general de propietarios, e inscribir ante la entidad competente todos los actos relacionados con la existencia y representación legal de la persona jurídica.
10. Representar judicial y extrajudicialmente a la persona jurídica y conceder poderes especiales para tales fines, cuando la necesidad lo exija.
11. Notificar a los propietarios de bienes privados, por los medios que señale el respectivo reglamento de propiedad horizontal, las sanciones impuestas en su contra por la asamblea general o el consejo de administración, según el caso, por incumplimiento de obligaciones. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
12. Hacer efectivas las sanciones por incumplimiento de las obligaciones previstas en esta ley, en el reglamento de propiedad horizontal y en cualquier reglamento interno, que hayan sido impuestas por la asamblea general o el Consejo de Administración, según el caso, una vez se encuentren ejecutoriadas.
13. Expedir el paz y salvo de cuentas con la administración del edificio o conjunto cada vez que se produzca el cambio de tenedor o propietario de un bien de dominio particular.
14. Las demás funciones previstas en la presente ley en el reglamento de propiedad horizontal, así como las que defina la asamblea general de propietarios.
PARÁGRAFO. Cuando el administrador sea persona jurídica, su representante legal actuará en representación del edificio o conjunto.",666,217-910
53,Artículo 53,Obligatoriedad,"Los edificios o conjuntos de uso comercial o mixto, integrados por más de treinta (30) bienes privados excluyendo parqueaderos o depósitos, tendrán un consejo de administración, integrado por un número impar de tres (3) o más propietarios de las unidades privadas respectivas, o sus delegados. En aquellos que tengan un número igual o inferior a treinta (30) bienes privados, excluyendo parqueaderos y depósitos, será potestativo consagrar tal organismo en los reglamentos de propiedad horizontal. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, ""bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
Para edificios o conjuntos de uso residencial, integrados por más de treinta (30) bienes privados excluyendo parqueaderos o depósitos, será potestativo consagrar tal organismo en los reglamentos de propiedad horizontal.",220,217-910
58,Artículo 58,Solución de conflictos,"Para la solución de los conflictos que se presenten entre los propietarios o tenedores del edificio o conjunto, o entre ellos y el administrador, el consejo de administración o cualquier otro órgano de dirección o control de la persona jurídica, en razón de la aplicación o interpretación de esta ley y del reglamento de propiedad horizontal, sin perjuicio de la competencia propia de las autoridades jurisdiccionales, se podrá acudir a:
1. Comité de Convivencia. Cuando se presente una controversia que pueda surgir con ocasión de la vida en edificios de uso residencial, su solución se podrá intentar mediante la intervención de un comité de convivencia elegido de conformidad con lo indicado en la presente ley, el cual intentará presentar fórmulas de arreglo, orientadas a dirimir las controversias y a fortalecer las relaciones de vecindad. Las consideraciones de este comité se consignarán en un acta, suscrita por las partes y por los miembros del comité y la participación en él será ad honorem.
2. Mecanismos alternos de solución de conflictos. Las partes podrán acudir, para la solución de conflictos, a los mecanismos alternos, de acuerdo con lo establecido en las normas legales que regulan la materia.
PARÁGRAFO 1º. Los miembros de los comités de con vivencia serán elegidos por la asamblea general de copropietarios, para un período de un (1) año y estará integrado por un número impar de tres (3) o más personas. NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, bajo el entendido descrito en el resuelve de la sentencia.
PARÁGRAFO 2º. El comité consagrado en el presente artículo, en ningún caso podrá imponer sanciones.
PARÁGRAFO 3º. Derogado por el literal c), art. 626, Ley 1564 de 2012.El texto derogado era el siguienteCuando se acuda a la autoridad jurisdiccional para resolver los conflictos referidos en el presente artículo, se dará el trámite previsto en el Capítulo II del Título XXIII del Código de Procedimiento Civil, o en las disposiciones que lo modifiquen, adicionen o complementen.",332,217-910
59,Artículo 59,Clases de sanciones por incumplimiento de obligaciones no pecuniarias,"El incumplimiento de las obligaciones no pecuniarias que tengan su consagración en la ley o en el reglamento de propiedad horizontal, por parte de los propietarios, tenedores o terceros por los que estos deban responder en los términos de la ley, dará lugar, previo requerimiento escrito, con indicación del plazo para que se ajuste a las normas que rigen la propiedad horizontal, si a ello hubiere lugar, a la imposición de las siguientes sanciones: NOTA: Texto subrayado declarado EXEQUIBLE por la Corte Constitucional mediante Sentencia C-318 de 2002, bajo el entendido de que los moradores no propietarios de inmuebles sometidos al régimen de propiedad horizontal podrán ejercer ante las autoridades internas del mismo el derecho de petición, así como el de ser oídos en las decisiones que puedan afectarlos, conforme a lo expuesto en la parte motiva de esta sentencia.'Igualmente, se declara la exequibilidad de las normas acusadas bajo el entendido de que, cuando se trate de la imposición de sanciones por parte de las autoridades internas del inmueble sometido al régimen de propiedad horizontal, habrá de respetarse y garantizarse a los no propietarios el ejercicio del derecho de defensa"".
1. Publicación en lugares de amplia circulación de la edificación o conjunto de la lista de los infractores con indicación expresa del hecho o acto que origina la sanción. NOTA: Numeral declarado EXEQUIBLE por la Sentencia C-328 de 2019.
2. Imposición de multas sucesivas, mientras persista el incumplimiento, que no podrán ser superiores, cada una, a dos (2) veces el valor de las expensas necesarias mensuales, a cargo del infractor, a la fecha de su imposición que, en todo caso, sumadas no podrán exceder de diez (10) veces las expensas necesarias mensuales a cargo del infractor.
3. Restricción al uso y goce de bienes de uso común no esenciales, como salones comunales y zonas de recreación y deporte.
PARÁGRAFO. En ningún caso se podrá restringir el uso de bienes comunes esenciales o de aquellos destinados a su uso exclusivo.
Ver Concepto del Min. Ambiente, Vivienda y Desarrollo Territorial 53886 de 2011.",341,217-910
