articulo_id,articulo_name,detalla,contenido,conteo_palabras,rango_palabras
41,Artículo 41,Reuniones de segunda convocatoria,"Si convocada la asamblea general de propietarios, no puede sesionar por falta de quórum, se convocará a una nueva reunión que se realizará el tercer día hábil siguiente al de la convocatoria inicial, a las ocho pasado meridiano (8:00 p.m.), sin perjuicio de lo dispuesto en el reglamento de propiedad horizontal, la cual sesionará y decidirá válidamente con un número plural de propietarios, cualquiera que sea el porcentaje de coeficientes representados. En todo caso, en la convocatoria prevista en el artículo anterior deberá dejarse constancia de lo establecido en el presente artículo.",92,0-132
52,Artículo 52,Administración provisional,"Mientras el órgano competente no elija al administrador del edificio o conjunto, ejercerá como tal el propietario inicial, quien podrá contratar con un tercero tal gestión.
No obstante lo indicado en este artículo, una vez se haya construido y enajenado un número de bienes privados que representen por lo menos el cincuenta y uno por ciento (51%) de los coeficientes de copropiedad, cesará la gestión del propietario inicial como administrador provisional.
Cumplida la condición a que se ha hecho referencia, el propietario inicial deberá informarlo por escrito a todos los propietarios del edificio o conjunto, para que la asamblea se reúna y proceda a nombrar el administrador, dentro de los veinte (20) días hábiles siguientes. De no hacerlo el propietario inicial nombrará al administrador definitivo.",125,0-132
54,Artículo 54,Quórum y mayorías,"El consejo de administración deliberará y decidirá válidamente con la presencia y votos de la mayoría de sus miembros, salvo que el reglamento de propiedad horizontal estipule un quórum superior, con independencia de los coeficientes de copropiedad.",37,0-132
55,Artículo 55,Funciones,"Al consejo de administración le corresponderá tomar las determinaciones necesarias en orden a que la persona jurídica cumpla sus fines, de acuerdo con lo previsto en el reglamento de propiedad horizontal.",31,0-132
57,Artículo 57,Funciones,"Al Revisor Fiscal como encargado del control de las distintas operaciones de la persona jurídica, le corresponde ejercer las funciones previstas en la Ley 43 de 1990 o en las disposiciones que la modifiquen, adicionen o complementen, así como las previstas en la presente ley.Texto subrayado declarado exequible por la Corte Constitucional mediante Sentencia C-738 de 2002.",57,0-132
60,Artículo 60,"Las sanciones previstas en el artículo anterior serán impuestas por la asamblea general o por el consejo de administración, cuando se haya creado y en el reglamento de propiedad horizontal se le haya atribuido esta facultad","Para su imposición se respetarán los procedimientos contemplados en el reglamento de propiedad horizontal, consultando el debido proceso, el derecho de defensa y contradicción e impugnación. Igualmente deberá valorarse la intencionalidad del acto, la imprudencia o negligencia, así como las circunstancias atenuantes, y se atenderán criterios de proporcionalidad y graduación de las sanciones, de acuerdo con la gravedad de la infracción, el daño causado y la reincidencia.
PARÁGRAFO. En el reglamento de propiedad horizontal se indicarán las conductas objeto de la aplicación de sanciones, con especificación de las que procedan para cada evento, así como la duración razonable de las previstas en los numerales 1 y 2 del artículo precedente, de la presente ley.",114,0-132
63,Artículo 63,Unidades Inmobiliarias Cerradas,"Las  son conjuntos de edificios, casas y demás construcciones integradas arquitectónica y funcionalmente, que comparten elementos estructurales y constructivos, áreas comunes de circulación, recreación, reunión, instalaciones técnicas, zonas verdes y de disfrute visual; cuyos propietarios participan proporcionalmente en el pago de expensas comunes, tales como los servicios públicos comunitarios, vigilancia, mantenimiento y mejoras.
El acceso a tales conjuntos inmobiliarios se encuentra restringido por un encerramiento y controles de ingreso.",69,0-132
65,Artículo 65,Areas para circulación,"Las Unidades Inmobiliarias Cerradas dispondrán de vías de acceso vehicular y áreas de circulación peatonal para acceder a los inmuebles, con la debida iluminación y señalización. Las áreas de circulación interna y común de los edificios deberán cumplir normas higiénicas, de aseo y ventilación.",44,0-132
66,Artículo 66,Areas de recreación,"Todas las Unidades Inmobiliarias Cerradas dispondrán proporcionalmente a su tamaño y al uso predominante de áreas comunes suficientes para actividades recreativas, culturales y deportivas. Tales exigencias podrán disminuirse cuando se garantice de otra manera el derecho a la práctica del deporte y a la recreación.
La utilización de las áreas comunes de recreación se someterá a la reglamentación interna que expida la asamblea de copropietarios y la junta administradora de la unidad Inmobiliaria Cerrada.",74,0-132
67,Artículo 67,Areas de uso social,"Las Unidades Inmobiliarias Cerradas deben disponer de áreas específicas destinadas al uso social de todos sus moradores y visitantes, como lugares de encuentro y reunión. Su utilización estará sometida a la reglamentación de la Junta Administradora y a las decisiones del administrador de la respectiva unidad.",46,0-132
68,Artículo 68,Zonas verdes,"Las Unidades Inmobiliarias Cerradas tendrán áreas libres engramadas y arborizadas destinadas al cuidado del medio ambiente, al ornato y a la recreación.
Además, cuando las dimensiones de la Unidad Inmobiliaria Cerrada lo permitan, se construirán parques comunes internos debidamente autorizados.",40,0-132
69,Artículo 69,Areas de servicio,"Las Unidades Inmobiliarias Cerradas tendrán áreas adecuadas y suficientes para atender los servicios de portería, seguridad, instalaciones de energía, acueducto, alcantarillado, comunicaciones y otros servicios.",25,0-132
70,Artículo 70,Parqueaderos,Las normas municipales de urbanismo y construcción establecerán exigencias mínimas de celdas de parqueo por cada propiedad para los moradores y visitantes de las Unidades Inmobiliarias Cerradas; así como espacios de maniobra de vehículos y los necesarios para las operaciones de cargue y descargue para el comercio y la industria.,50,0-132
71,Artículo 71,Cerramientos transparentes,"Las Unidades Inmobiliarias Cerradas que se autoricen a partir de la presente ley tendrán cerramientos en setos vivos o cerramientos transparentes que permitan la integración visual de los espacios libres privados y edificaciones al espacio público adyacente, sin que ello implique que se prive a la ciudadanía de su uso, goce y disfrute visual, en los términos del artículo 6o de la Ley 9ª de 1989.",66,0-132
72,Artículo 72,Aprovechamiento económico de las áreas comunes,"Las actividades que puedan desarrollarse en las áreas comunes de las cuales se derive un aprovechamiento económico podrán ser reglamentadas por la Asamblea de Copropietarios o por la Junta Administradora de las Unidades Inmobiliarias Cerradas y podrá imponérseles el pago de un canon, en condiciones de justicia y equidad.
PARÁGRAFO. Los dineros recibidos por concepto de la explotación de las áreas comunes sólo podrán beneficiar a la persona jurídica y serán destinados al pago de los gastos y expensas comunes de la unidad inmobiliaria.",84,0-132
73,Artículo 73,Reformas arquitectónicas y estéticas,"La adopción o reforma de los cánones arquitectónicos y estéticos originales en las fachadas, zonas exteriores y de uso común, de las Unidades Inmobiliarias Cerradas será decidida por la respectiva Asamblea de copropietarios y posteriormente se someterá a la aprobación de autoridad competente.",43,0-132
74,Artículo 74,Niveles de inmisión tolerables,"Las señales visuales, de ruido, olor, partículas y cualquier otro elemento que, generados en inmuebles privados o públicos, trascienden el exterior, no podrán superar los niveles tolerables para la convivencia y la funcionalidad requerida en las Unidades Inmobiliarias Cerradas.
Tales niveles de incidencia o inmisión serán determinados por las autoridades sanitarias, urbanísticas y de policía; con todo podrán ser regulados en forma aún más restrictiva en los reglamentos de las Unidades Inmobiliarias Cerradas o por la Asamblea de Copropietarios.
PARÁGRAFO. Los reglamentos de las Unidades Inmobiliarias Cerradas establecerán los requisitos para la permanencia de mascotas (animales domésticos).",97,0-132
75,Artículo 75,"Licencias para reformas, normas arquitectónicas y ampliaciones","Las reformas de las fachadas y áreas comunes, así como las ampliaciones, dentro de los cánones vigentes, requerirán la autorización de la Junta de Copropietarios. En todo caso será necesaria la licencia correspondiente de la autoridad municipal competente.
Las reformas internas en los inmuebles privados que no incidan en la estructura y funcionamiento de la Unidad Inmobiliaria Cerrada no requerirán de autorización previa por parte de los órganos Administradores.",69,0-132
76,Artículo 76,Autoridades internas,"Son autoridades internas de las Unidades Inmobiliarias Cerradas:
1. La Asamblea de Copropietarios.
2. La Junta Administradora, cuando esta exista; conformada democráticamente por los copropietarios o moradores que tendrán los derechos previstos en los reglamentos de la respectiva Unidad Inmobiliaria.
3. El Administrador de la Unidad, quien podrá solicitar auxilio de la fuerza pública para el desempeño de sus funciones.",60,0-132
77,Artículo 77,Solución de conflictos,"Los conflictos de convivencia se tratarán conforme con lo dispuesto en el artículo 58 de la presente ley.
Los procedimientos internos de concertación no constituyen un trámite previo obligatorio para ejercitar las acciones policivas, penales y civiles.",37,0-132
78,Artículo 78,Cuotas de administración y sostenimiento,Los reglamentos de las Unidades Inmobiliarias Cerradas establecerán cuotas periódicas de administración y sostenimiento a cargo de los propietarios de los inmuebles.,22,0-132
79,Artículo 79,Ejecución de las obligaciones,"Los Administradores de Unidades Inmobiliarias Cerradas podrán demandar la ejecución de las obligaciones económicas y de las sanciones pecuniarias impuestas a propietarios y moradores.
En tales procesos de liquidación de las obligaciones vencidas a cargo del propietario o morador, realizada por el Administrador, prestará mérito ejecutivo de acuerdo con lo dispuesto en el artículo 48 de la presente ley, sin necesidad de protesto ni otro requisito adicional.
PARÁGRAFO. En todo caso el copropietario de cada inmueble responderá solidariamente por todas las obligaciones ordinarias y extraordinarias y por las sanciones pecuniarias impuestas a los moradores de su inmueble.",97,0-132
80,Artículo 80,Cobro de los servicios públicos domiciliarios,"Los urbanizadores y constructores de Unidades Inmobiliarias Cerradas deberán instalar medidores de consumo de los servicios públicos domiciliarios para cada inmueble.
Las empresas prestadoras de servicios públicos domiciliarios elaborarán las facturas para cada inmueble en forma individual.
PARÁGRAFO. Las Unidades Inmobiliarias Cerradas que a la fecha de entrada en vigencia de esta ley no posean medidor individual podrán instalarlos si tal solicitud tiene la aprobación de al menos la mitad más uno de los copropietarios.",75,0-132
81,Artículo 81,Servicios Públicos Domiciliarios Comunes,"Los consumos de los servicios públicos domiciliarios de acueducto, energía y gas en las zonas comunes y el espacio público interno de las Unidades Inmobiliarias Cerradas serán pagados por estas de acuerdo en lo dispuesto en el parágrafo del artículo 32 de la presente ley.
Los servicios de alumbrado público y de aseo en las zonas comunes y en el espacio público interno podrán ser pagados a través de las cuentas de consumo periódico de dichos servicios o de la tasa de alumbrado público o de aseo establecidas por el Municipio o Distrito. En ningún caso podrán generarse ambas obligaciones por un mismo servicio.",104,0-132
82,Artículo 82,"Obligaciones de mantenimiento, reparación y mejoras","Las Unidades Inmobiliarias Cerradas tendrán a su cargo las obligaciones de mantenimiento, reparación y mejoras de las zonas comunes y del espacio público interno de las Unidades Inmobiliarias Cerradas, que serán pagados por los copropietarios.",35,0-132
83,Artículo 83,Impuesto de renta y complementarios,Las unidades Inmobiliarias Cerradas son personas jurídicas sin ánimo de lucro que no estan obligadas al pago del impuesto de renta y complementarios.,23,0-132
84,Artículo 84,"Las disposiciones contempladas en el presente capítulo, no operan para los edificios o conjuntos de uso comercial",nan,1,0-132
85,Artículo 85,Parcelación,"Cuando una parcelación esté conformada por lotes de terreno de dominio particular y por bienes comunes, sus propietarios podrán someterse a las disposiciones de esta ley, en todo cuanto le sea aplicable, en especial a las normas que hacen relación al surgimiento de la persona jurídica, la administración de la parcelación, el carácter indivisible de los bienes comunes, el pago de expensas, el cálculo de coeficientes de copropiedad, la resolución de conflictos y las sanciones.",75,0-132
87,Artículo 87,Vigencia y derogatoria,"La presente ley rige a partir de su publicación y deroga las Leyes 182 de 1948, 16 de 1985 y 428 de 1998, así como los decretos que se hayan expedido para reglamentarlas.",33,0-132
